INT Temp [°C];AUX Temp [°C];COMP Temp [°C];RELAY Temp [°C];INT Filter Temp [°C];AUX Filter Temp [°C];COMP Filter Temp [°C];RELAY Filter Temp [°C];Relay Control;Battery Charger;Power Dissipation [W];Relay Resistance [Ohm]
23.0171;21.6296;22.8905;21.8307;23.1807;21.4744;22.8965;21.7830;0.0000;0.0000;0.0000;0.0146
23.2455;21.5543;22.9158;21.7050;23.1818;21.4744;22.8958;21.7821;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.9158;21.8055;23.1828;21.4744;22.8968;21.7825;0.0000;0.0000;0.0000;0.0146
23.2201;21.5794;22.9665;21.8055;23.1829;21.4744;22.8970;21.7838;0.0000;0.0000;0.0000;0.0146
23.3216;21.4539;22.8145;21.7804;23.1821;21.4746;22.8964;21.7849;0.0000;0.0000;0.0000;0.0146
23.1439;21.5292;22.9158;21.9061;23.1816;21.4746;22.8977;21.7822;0.0000;0.0000;0.0000;0.0146
23.1947;21.4539;22.9158;21.9061;23.1811;21.4746;22.8968;21.7792;0.0000;0.0000;0.0000;0.0146
23.1439;21.6296;22.9411;21.8307;23.1792;21.4747;22.8966;21.7802;0.0000;0.0000;0.0000;0.0146
23.1693;21.4037;22.8905;21.8558;23.1792;21.4747;22.8970;21.7802;0.0000;0.0000;0.0000;0.0146
23.2201;21.4790;22.8905;21.7552;23.1790;21.4748;22.8973;21.7806;0.0000;0.0000;0.0000;0.0146
23.2201;21.5292;22.9411;21.8055;23.1792;21.4747;22.8966;21.7816;0.0000;0.0000;0.0000;0.0146
23.1186;21.5041;22.7892;21.8307;23.1784;21.4749;22.8964;21.7828;0.0000;0.0000;0.0000;0.0146
23.1186;21.3787;22.9665;21.7050;23.1786;21.4747;22.8960;21.7815;0.0000;0.0000;0.0000;0.0146
23.2455;21.3035;22.8145;21.7301;23.1797;21.4746;22.8968;21.7804;0.0000;0.0000;0.0000;0.0146
23.2708;21.4288;22.8905;21.8810;23.1808;21.4746;22.8973;21.7810;0.0000;0.0000;0.0000;0.0146
23.2455;21.4288;22.8398;21.6799;23.1810;21.4746;22.8964;21.7811;0.0000;0.0000;0.0000;0.0146
23.2201;21.4539;22.8651;21.8558;23.1820;21.4748;22.8961;21.7818;0.0000;0.0000;0.0000;0.0146
23.1947;21.3035;22.9158;21.9816;23.1819;21.4747;22.8967;21.7840;0.0000;0.0000;0.0000;0.0146
23.1693;21.5794;22.9411;21.7301;23.1816;21.4747;22.8967;21.7839;0.0000;0.0000;0.0000;0.0146
